property_master_id,rera_id,project_status,project_age,construction_duration_months,completion_percent,unsold_inventory,developer_project_count,developer_completion_rate,developer_lapsed_project_count
PROP-6198AC7EC0DF,RERA-KAR-71052427,Ongoing,41.0,59.0,69.5,33.0,15,0.933,4
PROP-5137A3304A8D,,Unregistered,,,,,0,1.0,0
PROP-034D7A0B20C3,,Unregistered,,,,,0,1.0,0
PROP-05CE80B8C1AA,,Unregistered,,,,,0,1.0,0
PROP-AD67C3A9A291,RERA-KAR-04561577,Ongoing,15.0,46.0,32.6,141.0,16,0.438,0
PROP-0E17C65A21D4,RERA-KAR-04561577,Ongoing,15.0,46.0,32.6,141.0,17,0.471,0
PROP-E7031A20A926,,Unregistered,,,,,0,1.0,0
PROP-3246C3FC5C55,RERA-KAR-43026543,Ongoing,9.0,34.0,26.5,41.0,9,0.333,0
PROP-50AAA88D9120,,Unregistered,,,,,0,1.0,0
PROP-8B6269F4BD28,RERA-KAR-70510487,Ongoing,9.0,47.0,19.1,64.0,9,0.667,0
PROP-1546EEBB457A,,Unregistered,,,,,0,1.0,0
PROP-25D885A113E6,,Unregistered,,,,,0,1.0,0
PROP-849A281CFF54,,Unregistered,,,,,0,1.0,0
PROP-190395B99E9D,,Unregistered,,,,,0,1.0,0
PROP-2DB34F9A522C,,Unregistered,,,,,0,1.0,0
PROP-1383C31E32FC,,Unregistered,,,,,0,1.0,0
PROP-479CDA774E4C,,Unregistered,,,,,0,1.0,0
PROP-528575F62F88,,Unregistered,,,,,0,1.0,0
PROP-9AD002FE4B18,RERA-KAR-79095608,Ongoing,14.0,29.0,48.3,140.0,20,0.6,0
PROP-B2BD17D40BBC,RERA-KAR-71452231,Ongoing,41.0,53.0,77.4,104.0,12,0.583,0
PROP-77329B5BA900,,Unregistered,,,,,0,1.0,0
PROP-9FE0F32F9537,,Unregistered,,,,,0,1.0,0
PROP-A2B75A8354E3,RERA-KAR-69223740,Ongoing,30.0,49.0,61.2,17.0,19,0.684,2
PROP-D20C0401F105,,Unregistered,,,,,0,1.0,0
PROP-3255D6EDE50A,,Unregistered,,,,,0,1.0,0
PROP-47F9EAE7F7BA,,Unregistered,,,,,0,1.0,0
PROP-E85CE5C8A614,,Unregistered,,,,,0,1.0,0
PROP-E4EFEBFC49E1,,Unregistered,,,,,0,1.0,0
PROP-88402CD84987,,Unregistered,,,,,0,1.0,0
PROP-3297C9B633C4,,Unregistered,,,,,0,1.0,0
PROP-72279B967FA7,,Unregistered,,,,,0,1.0,0
PROP-B394821D8C67,,Unregistered,,,,,0,1.0,0
PROP-AACC25CFD687,RERA-KAR-87364964,Ongoing,34.0,37.0,91.9,18.0,9,0.444,0
PROP-5BA76159644E,RERA-KAR-12844618,Ongoing,36.0,50.0,72.0,19.0,11,0.818,0
PROP-25FAB7A392D5,,Unregistered,,,,,0,1.0,0
PROP-F945A4CA718D,,Unregistered,,,,,0,1.0,0
PROP-98EF4F84F1CD,RERA-KAR-76117560,Ongoing,26.0,51.0,51.0,72.0,5,0.6,0
PROP-E05D72378253,,Unregistered,,,,,0,1.0,0
PROP-1C45CF8E8EFE,,Unregistered,,,,,0,1.0,0
PROP-C4B6AAE54184,,Unregistered,,,,,0,1.0,0
PROP-6B00C7777701,RERA-KAR-23669452,Ongoing,10.0,24.0,41.7,21.0,15,0.8,0
PROP-9B98EB9561E1,RERA-KAR-20023230,Ongoing,32.0,54.0,59.3,54.0,9,0.444,0
PROP-5C8299FC38FE,,Unregistered,,,,,0,1.0,0
PROP-D714263105B9,,Unregistered,,,,,0,1.0,0
PROP-3560C9E73D99,,Unregistered,,,,,0,1.0,0
PROP-8CC13F552260,,Unregistered,,,,,0,1.0,0
PROP-6E826236E8DA,,Unregistered,,,,,0,1.0,0
PROP-80A2584D86AF,,Unregistered,,,,,0,1.0,0
PROP-261009938B73,,Unregistered,,,,,0,1.0,0
PROP-6FF2889DDF2E,,Unregistered,,,,,0,1.0,0
PROP-38073AED3070,RERA-KAR-68244799,Completed,33.0,26.0,100.0,106.0,13,0.462,0
PROP-AA04003561ED,,Unregistered,,,,,0,1.0,0
PROP-8E729CE866D2,,Unregistered,,,,,0,1.0,0
PROP-A86CA12B8FE7,RERA-KAR-30641287,Ongoing,9.0,35.0,25.7,43.0,12,0.25,0
PROP-35A62E77D2F7,,Unregistered,,,,,0,1.0,0
PROP-4ACFC8053CB6,,Unregistered,,,,,0,1.0,0
PROP-2785A6B52241,,Unregistered,,,,,0,1.0,0
PROP-F09FDFD24D6A,,Unregistered,,,,,0,1.0,0
PROP-A643398A5BF2,,Unregistered,,,,,0,1.0,0
PROP-48C5CFCE8705,,Unregistered,,,,,0,1.0,0
PROP-FEF5852F288E,,Unregistered,,,,,0,1.0,0
PROP-9CC7436E82B6,,Unregistered,,,,,0,1.0,0
PROP-4291897BA1A2,RERA-KAR-55997000,Ongoing,26.0,58.0,44.8,154.0,14,0.714,1
PROP-744F1A906390,RERA-KAR-26333140,Ongoing,14.0,45.0,31.1,157.0,14,0.357,0
PROP-0D1D8D68BC20,RERA-KAR-69909594,Ongoing,20.0,26.0,76.9,79.0,35,0.886,2
PROP-BF4B025F4EA1,,Unregistered,,,,,0,1.0,0
PROP-FE34C1E01122,,Unregistered,,,,,0,1.0,0
PROP-0917290A9905,,Unregistered,,,,,0,1.0,0
PROP-B2FB5B77084B,,Unregistered,,,,,0,1.0,0
PROP-5D24D6B45D56,RERA-KAR-51308866,Ongoing,38.0,44.0,86.4,51.0,12,0.583,0
PROP-B49B13AE575B,,Unregistered,,,,,0,1.0,0
PROP-FF83AC48ED5C,,Unregistered,,,,,0,1.0,0
PROP-13856C4CE5B4,RERA-KAR-03218770,Ongoing,28.0,29.0,96.6,146.0,11,0.455,0
PROP-3CBFD4283E7D,RERA-KAR-26220080,Ongoing,10.0,52.0,19.2,87.0,9,0.889,3
PROP-AF5D64FB7B10,,Unregistered,,,,,0,1.0,0
PROP-5820EFA5552E,,Unregistered,,,,,0,1.0,0
PROP-43E2AB6143AF,,Unregistered,,,,,0,1.0,0
PROP-383465045FA8,,Unregistered,,,,,0,1.0,0
PROP-C337EF56DCBC,,Unregistered,,,,,0,1.0,0
PROP-E86B3C0D5034,,Unregistered,,,,,0,1.0,0
PROP-E4F13B70ECB6,,Unregistered,,,,,0,1.0,0
PROP-9928ECD72DCE,,Unregistered,,,,,0,1.0,0
PROP-6F3EE65A4300,,Unregistered,,,,,0,1.0,0
PROP-500C4E5EAE1F,,Unregistered,,,,,0,1.0,0
PROP-0AFFAFDFB914,RERA-KAR-02657381,Ongoing,23.0,53.0,43.4,81.0,9,0.222,0
PROP-1910389B0492,,Unregistered,,,,,0,1.0,0
PROP-436A7F43FB2F,RERA-KAR-02864385,Ongoing,39.0,44.0,88.6,124.0,9,0.778,1
PROP-1882F56DC76C,,Unregistered,,,,,0,1.0,0
PROP-5BBFF6FC8AD7,,Unregistered,,,,,0,1.0,0
PROP-F5A5E7E3DC4B,,Unregistered,,,,,0,1.0,0
PROP-9B0452D3DE3D,,Unregistered,,,,,0,1.0,0
PROP-4DF94B02E4F3,,Unregistered,,,,,0,1.0,0
PROP-C04ACA197A93,,Unregistered,,,,,0,1.0,0
PROP-A133CD3ED372,,Unregistered,,,,,0,1.0,0
PROP-6C2B039E313E,,Unregistered,,,,,0,1.0,0
PROP-CDA0D9C57C23,,Unregistered,,,,,0,1.0,0
PROP-E154E3205E2A,,Unregistered,,,,,0,1.0,0
PROP-7FE66CBB7598,,Unregistered,,,,,0,1.0,0
PROP-E798164E84DB,RERA-KAR-12013145,Ongoing,39.0,52.0,75.0,62.0,13,0.231,0
PROP-31571DD790B5,,Unregistered,,,,,0,1.0,0
PROP-4BE0F3494E62,,Unregistered,,,,,0,1.0,0
PROP-81BF26B84C75,,Unregistered,,,,,0,1.0,0
PROP-33C8470B9C6A,RERA-KAR-19612758,Ongoing,30.0,43.0,69.8,158.0,20,0.4,0
PROP-FCECC360EFF1,,Unregistered,,,,,0,1.0,0
PROP-D272310E6ED1,RERA-KAR-89321585,Ongoing,15.0,45.0,33.3,40.0,10,0.9,2
PROP-2C5523484217,,Unregistered,,,,,0,1.0,0
PROP-2C022F058F8F,RERA-KAR-44906378,Ongoing,24.0,33.0,72.7,58.0,9,0.667,0
PROP-CDCD6724B6CB,,Unregistered,,,,,0,1.0,0
PROP-1B225361FAFC,,Unregistered,,,,,0,1.0,0
PROP-83B90592C204,,Unregistered,,,,,0,1.0,0
PROP-9F79E14B98AF,,Unregistered,,,,,0,1.0,0
PROP-109E0D72A5AE,RERA-KAR-72474780,Completed,34.0,30.0,100.0,278.0,14,0.643,0
PROP-C4778F47672A,RERA-KAR-74222106,Ongoing,12.0,38.0,31.6,271.0,17,0.765,0
PROP-1C5A27B26AB5,,Unregistered,,,,,0,1.0,0
PROP-1AF0D410E576,,Unregistered,,,,,0,1.0,0
PROP-F75CDD01A1AA,,Unregistered,,,,,0,1.0,0
PROP-17CA3E53E305,RERA-KAR-02404698,Ongoing,24.0,50.0,48.0,52.0,15,0.467,0
PROP-7F7924D91B2A,RERA-KAR-92718991,Ongoing,37.0,44.0,84.1,120.0,19,0.632,3
PROP-5C5AFBD86242,,Unregistered,,,,,0,1.0,0
PROP-1B7C7F7BB4F0,,Unregistered,,,,,0,1.0,0
PROP-398D30C11F47,,Unregistered,,,,,0,1.0,0
PROP-C2036F9AF9B0,,Unregistered,,,,,0,1.0,0
PROP-E9FF8D1DE7C1,,Unregistered,,,,,0,1.0,0
PROP-3C87B168FAFF,,Unregistered,,,,,0,1.0,0
PROP-F7FA9F287617,,Unregistered,,,,,0,1.0,0
PROP-A6AB8397456D,,Unregistered,,,,,0,1.0,0
PROP-65D3AC0A919D,,Unregistered,,,,,0,1.0,0
PROP-B847A3A44DE7,,Unregistered,,,,,0,1.0,0
PROP-D62E1A033A1D,,Unregistered,,,,,0,1.0,0
PROP-B5F87E6F1C72,RERA-KAR-64219840,Ongoing,10.0,40.0,25.0,110.0,13,0.462,0
PROP-36628C10D007,,Unregistered,,,,,0,1.0,0
PROP-0B5033FAD1F8,RERA-KAR-74635613,Completed,39.0,34.0,100.0,32.0,12,0.583,0
PROP-86508AB54F25,,Unregistered,,,,,0,1.0,0
PROP-22AB263B99F0,,Unregistered,,,,,0,1.0,0
PROP-A7EC45B2B1D0,,Unregistered,,,,,0,1.0,0
PROP-C855599ABCA3,RERA-KAR-20421670,Ongoing,17.0,55.0,30.9,55.0,16,0.312,0
PROP-FF3363401EE2,RERA-KAR-00063082,Completed,65.0,57.0,100.0,131.0,7,0.857,1
PROP-36927D4639BB,RERA-KAR-00063082,Ongoing,50.0,57.0,87.7,131.0,7,0.429,0
PROP-501FBF38126A,,Unregistered,,,,,0,1.0,0
PROP-D1A3920B32AC,,Unregistered,,,,,0,1.0,0
PROP-C899AF137BF6,,Unregistered,,,,,0,1.0,0
PROP-6D569185C082,,Unregistered,,,,,0,1.0,0
PROP-AE9F2482CDCF,,Unregistered,,,,,0,1.0,0
PROP-C17CC032C274,,Unregistered,,,,,0,1.0,0
PROP-D802EBB438F8,,Unregistered,,,,,0,1.0,0
PROP-9356696B099A,,Unregistered,,,,,0,1.0,0
PROP-BFE1DCB57FE7,,Unregistered,,,,,0,1.0,0
PROP-9A0C24AE1BA3,,Unregistered,,,,,0,1.0,0
PROP-EC759795DDE2,RERA-KAR-49477027,Ongoing,17.0,58.0,29.3,192.0,21,0.714,2
PROP-1A14BB6BEB72,RERA-KAR-97447668,Ongoing,18.0,26.0,69.2,200.0,7,0.714,0
PROP-2E3F5E44C37E,,Unregistered,,,,,0,1.0,0
PROP-CA46EF464BEE,,Unregistered,,,,,0,1.0,0
PROP-695FFFC8F620,RERA-KAR-89280283,Ongoing,33.0,43.0,76.7,112.0,12,0.75,0
PROP-94502A9B88D6,RERA-KAR-81942622,Completed,40.0,25.0,100.0,58.0,26,0.577,0
PROP-E8B7A38B21A8,,Unregistered,,,,,0,1.0,0
PROP-FFC250B6318B,,Unregistered,,,,,0,1.0,0
PROP-D0B6BC7DEEBD,RERA-KAR-03636783,Ongoing,21.0,45.0,46.7,85.0,9,0.556,0
PROP-90FB2529C61D,,Unregistered,,,,,0,1.0,0
PROP-F3B05B74B0FD,,Unregistered,,,,,0,1.0,0
PROP-A26F263B787C,RERA-KAR-66600526,Ongoing,32.0,46.0,69.6,143.0,13,0.538,0
PROP-CFB9AE36EF50,RERA-KAR-95252946,Ongoing,40.0,55.0,72.7,50.0,17,0.765,3
PROP-12B9FEAB62C9,RERA-KAR-83879392,Ongoing,18.0,50.0,36.0,65.0,3,0.333,0
PROP-5668F0EABFE5,,Unregistered,,,,,0,1.0,0
PROP-298C042448D0,,Unregistered,,,,,0,1.0,0
PROP-44463DE76407,,Unregistered,,,,,0,1.0,0
PROP-6327C73AD39E,RERA-KAR-40900283,Ongoing,39.0,45.0,86.7,253.0,7,0.571,0
PROP-8896C70EE6B6,,Unregistered,,,,,0,1.0,0
PROP-F5782092C861,,Unregistered,,,,,0,1.0,0
PROP-524C9DCEB439,RERA-KAR-76428416,Ongoing,22.0,52.0,42.3,121.0,13,0.923,2
PROP-51C862209656,,Unregistered,,,,,0,1.0,0
PROP-2457E0A2323B,,Unregistered,,,,,0,1.0,0
PROP-A0B1099BB414,,Unregistered,,,,,0,1.0,0
PROP-DB90FB7423D8,RERA-KAR-96109981,Ongoing,7.0,43.0,16.3,11.0,10,0.9,1
PROP-D58A8E4DD67F,RERA-KAR-78629966,Ongoing,16.0,41.0,39.0,16.0,8,0.625,1
PROP-D74F6CAF6589,,Unregistered,,,,,0,1.0,0
PROP-92069E9F5BD8,,Unregistered,,,,,0,1.0,0
PROP-C3DB6800AAE3,,Unregistered,,,,,0,1.0,0
PROP-2B5262BF098D,RERA-KAR-73232127,Ongoing,21.0,28.0,75.0,73.0,17,0.529,0
PROP-ABC63D073804,,Unregistered,,,,,0,1.0,0
PROP-40C08E07FCFB,,Unregistered,,,,,0,1.0,0
PROP-7795861A2C71,,Unregistered,,,,,0,1.0,0
PROP-668F5318DE39,,Unregistered,,,,,0,1.0,0
PROP-6234FCED6F2E,RERA-KAR-58484325,Ongoing,19.0,41.0,46.3,127.0,4,0.25,0
PROP-41896C040BC6,,Unregistered,,,,,0,1.0,0
PROP-724B3B5F2A4C,RERA-KAR-25103039,Completed,29.0,27.0,100.0,151.0,6,0.833,0
PROP-23D383215367,,Unregistered,,,,,0,1.0,0
PROP-1706414A2C2D,,Unregistered,,,,,0,1.0,0
PROP-BF57C2BAF0C7,RERA-KAR-58001453,Ongoing,23.0,31.0,74.2,123.0,5,0.4,0
PROP-6570F57CDF30,,Unregistered,,,,,0,1.0,0
PROP-855B2608AFA2,,Unregistered,,,,,0,1.0,0
PROP-40F2B3066401,,Unregistered,,,,,0,1.0,0
PROP-01EFD0A5E5CC,,Unregistered,,,,,0,1.0,0
PROP-9E16F988E753,,Unregistered,,,,,0,1.0,0
PROP-EDBBA52C94B2,,Unregistered,,,,,0,1.0,0
PROP-1D16DAD57337,,Unregistered,,,,,0,1.0,0
PROP-946D0D8C1D6E,RERA-KAR-34526496,Completed,34.0,24.0,100.0,49.0,15,0.6,0
PROP-F3482FB5E361,RERA-KAR-95207751,Ongoing,9.0,45.0,20.0,53.0,27,0.741,1
PROP-71619B55A783,,Unregistered,,,,,0,1.0,0
PROP-F188FC4066BA,,Unregistered,,,,,0,1.0,0
PROP-B179D788D0EB,,Unregistered,,,,,0,1.0,0
PROP-3CB2DACE4698,,Unregistered,,,,,0,1.0,0
PROP-5025E3576295,RERA-KAR-40533325,Ongoing,23.0,59.0,39.0,37.0,4,0.5,0
PROP-42FCC04645B4,,Unregistered,,,,,0,1.0,0
PROP-280698F9A0CC,,Unregistered,,,,,0,1.0,0
PROP-576ED713159D,,Unregistered,,,,,0,1.0,0
PROP-28B32E4A68E1,RERA-KAR-68472249,Ongoing,15.0,33.0,45.5,32.0,9,0.333,0
PROP-9DC269111975,RERA-KAR-89047333,Ongoing,27.0,47.0,57.4,42.0,22,0.273,0
PROP-407A85BA0A62,,Unregistered,,,,,0,1.0,0
PROP-63962C10AAE2,RERA-KAR-37882932,Completed,50.0,26.0,100.0,93.0,27,0.519,0
PROP-503E47F851EE,,Unregistered,,,,,0,1.0,0
PROP-7483DA559F93,,Unregistered,,,,,0,1.0,0
PROP-2816D44FEB72,RERA-KAR-25127207,Ongoing,33.0,57.0,57.9,20.0,7,0.286,0
PROP-C09FBBDBD0D0,RERA-KAR-44372297,Ongoing,15.0,39.0,38.5,55.0,10,0.6,0
PROP-A5E59E30BEE4,,Unregistered,,,,,0,1.0,0
PROP-26B91F90301C,,Unregistered,,,,,0,1.0,0
PROP-968CA2C3D630,,Unregistered,,,,,0,1.0,0
PROP-FAB432D71476,,Unregistered,,,,,0,1.0,0
PROP-0C49B2268FE5,,Unregistered,,,,,0,1.0,0
PROP-62C455191707,,Unregistered,,,,,0,1.0,0
PROP-2A7024014AE1,,Unregistered,,,,,0,1.0,0
PROP-79342A715AF9,RERA-KAR-61113518,Ongoing,12.0,50.0,24.0,235.0,6,0.5,0
PROP-D2BE10C0D3EC,RERA-KAR-84386448,Ongoing,38.0,44.0,86.4,145.0,13,0.538,0
PROP-5C6AD1D6B392,RERA-KAR-50680710,Completed,40.0,33.0,100.0,76.0,6,0.833,0
PROP-BF6737D3E369,,Unregistered,,,,,0,1.0,0
PROP-860C13A7B292,,Unregistered,,,,,0,1.0,0
PROP-E47EB842485D,,Unregistered,,,,,0,1.0,0
PROP-F17DE4A459F7,,Unregistered,,,,,0,1.0,0
PROP-327A215971A1,,Unregistered,,,,,0,1.0,0
PROP-64E30F7BF08B,RERA-KAR-76117560,Completed,65.0,51.0,100.0,72.0,7,0.714,0
PROP-AA7B0CC323C7,RERA-KAR-45233633,Ongoing,23.0,27.0,85.2,77.0,42,0.143,0
PROP-3226B113EE60,,Unregistered,,,,,0,1.0,0
PROP-885EC1E50789,RERA-KAR-73504952,Completed,53.0,30.0,100.0,51.0,14,0.929,1
PROP-923179EFA3FA,,Unregistered,,,,,0,1.0,0
PROP-A0A4C6D15B69,RERA-KAR-24720481,Ongoing,15.0,29.0,51.7,208.0,27,0.63,0
PROP-48239E9554E9,RERA-KAR-10071392,Ongoing,18.0,26.0,69.2,117.0,11,0.636,0
PROP-2275D32103F7,,Unregistered,,,,,0,1.0,0
PROP-ECA6A5CAE50E,RERA-KAR-82863816,Ongoing,6.0,36.0,16.7,61.0,7,0.286,0
PROP-D18EFFAB8E47,,Unregistered,,,,,0,1.0,0
PROP-1052873B086D,RERA-KAR-66029413,Ongoing,23.0,57.0,40.4,11.0,27,0.444,0
PROP-E03ABBE6E4B2,RERA-KAR-78177477,Ongoing,19.0,37.0,51.4,49.0,15,0.533,0
PROP-DDDF35ED284C,RERA-KAR-82863816,Ongoing,30.0,36.0,83.3,61.0,8,0.625,0
PROP-D145557DD901,RERA-KAR-65074884,Ongoing,38.0,48.0,79.2,45.0,11,0.545,1
PROP-617F72D4ECAD,RERA-KAR-20406338,Ongoing,28.0,57.0,49.1,181.0,13,0.615,3
PROP-04BA9A07FA9B,RERA-KAR-37065102,Ongoing,12.0,53.0,22.6,46.0,9,0.222,0
PROP-9F41424DB965,RERA-KAR-10753932,Ongoing,10.0,47.0,21.3,69.0,32,0.5,0
PROP-3C3EF71E2F5D,RERA-KAR-27533152,Ongoing,18.0,52.0,34.6,69.0,26,0.538,0
PROP-9D74DFA1B1DA,RERA-KAR-79461855,Ongoing,21.0,36.0,58.3,41.0,4,0.5,0
PROP-BE1D27B60190,,Unregistered,,,,,0,1.0,0
PROP-D2FEABDC2F40,RERA-KAR-76348835,Ongoing,17.0,32.0,53.1,131.0,15,0.533,0
PROP-A0F3511BC46F,RERA-KAR-48718403,Completed,41.0,32.0,100.0,143.0,6,0.667,0
PROP-C220C20B5024,RERA-KAR-39591095,Ongoing,29.0,40.0,72.5,28.0,7,0.714,0
PROP-BC60C305F504,RERA-KAR-66488651,Ongoing,25.0,29.0,86.2,45.0,13,0.692,0
PROP-237239F4B635,,Unregistered,,,,,0,1.0,0
PROP-7AF330C90784,,Unregistered,,,,,0,1.0,0
PROP-50509048024E,,Unregistered,,,,,0,1.0,0
PROP-076F69BAFC49,RERA-KAR-90819500,Ongoing,26.0,57.0,45.6,122.0,4,0.75,0
PROP-F03C994A4997,RERA-KAR-37360869,Ongoing,11.0,24.0,45.8,139.0,14,0.429,0
PROP-60FB726C3D49,RERA-KAR-71125054,Ongoing,36.0,45.0,80.0,101.0,27,0.333,0
PROP-8D66B4533306,,Unregistered,,,,,0,1.0,0
PROP-F3C9D73A6084,RERA-KAR-40017312,Ongoing,26.0,41.0,63.4,38.0,59,0.22,0
PROP-3ED0980040CD,RERA-KAR-10600241,Ongoing,15.0,51.0,29.4,111.0,27,0.63,0
PROP-CBD2E9F9DA57,RERA-KAR-41992149,Completed,64.0,33.0,100.0,41.0,16,0.75,0
PROP-384D426B6CDF,RERA-KAR-77280254,Ongoing,36.0,45.0,80.0,172.0,19,0.526,0
PROP-4636FB1CCEB1,,Unregistered,,,,,0,1.0,0
PROP-5D4692562610,RERA-KAR-75189247,Ongoing,41.0,56.0,73.2,31.0,15,0.667,0
PROP-F63AD71DC992,RERA-KAR-10699962,Ongoing,28.0,46.0,60.9,52.0,12,0.667,0
PROP-7B666AE8CE34,RERA-KAR-54942305,Ongoing,7.0,36.0,19.4,279.0,19,0.526,0
PROP-2CA492C72962,RERA-KAR-35500273,Completed,75.0,25.0,100.0,34.0,8,1.0,1
PROP-FD821F92CE1D,RERA-KAR-14527865,Ongoing,27.0,56.0,48.2,163.0,9,0.778,1
PROP-872993F18DD7,RERA-KAR-62717168,Ongoing,9.0,49.0,18.4,191.0,10,0.3,0
PROP-0AE62F100962,,Unregistered,,,,,0,1.0,0
PROP-BD6861075C2E,RERA-KAR-81725903,Ongoing,9.0,59.0,15.3,50.0,5,0.2,0
PROP-5DC9CF618BC0,RERA-KAR-29130000,Ongoing,26.0,30.0,86.7,42.0,20,0.1,0
PROP-5D81A54B19E4,RERA-KAR-45984539,Ongoing,29.0,41.0,70.7,113.0,5,0.6,0
PROP-BB26A943FCFF,RERA-KAR-10022155,Ongoing,13.0,44.0,29.5,291.0,18,0.389,0
PROP-92B9BCB92FD1,,Unregistered,,,,,0,1.0,0
PROP-BAFA09222680,,Unregistered,,,,,0,1.0,0
PROP-D575957A299B,,Unregistered,,,,,0,1.0,0
PROP-795F2B417990,,Unregistered,,,,,0,1.0,0
PROP-FC61A3F9B3FE,,Unregistered,,,,,0,1.0,0
PROP-829D51DDD9AE,,Unregistered,,,,,0,1.0,0
PROP-3745FC8C2AA5,RERA-KAR-65886389,Completed,31.0,30.0,100.0,92.0,7,0.429,0
PROP-2D99415F5BD2,RERA-KAR-32859103,Ongoing,21.0,40.0,52.5,74.0,20,0.4,0
PROP-70216B417590,,Unregistered,,,,,0,1.0,0
PROP-E17C44745397,RERA-KAR-55786114,Ongoing,36.0,47.0,76.6,103.0,16,0.562,0
PROP-3C6B5D8E665A,,Unregistered,,,,,0,1.0,0
PROP-52C82292BA6D,,Unregistered,,,,,0,1.0,0
PROP-BCBDED325AE7,,Unregistered,,,,,0,1.0,0
PROP-50F8EEDE8E36,,Unregistered,,,,,0,1.0,0
PROP-91B6C9EC4DF6,RERA-KAR-60421482,Ongoing,28.0,40.0,70.0,34.0,14,0.429,0
PROP-585EBE40BDA9,RERA-KAR-96555916,Ongoing,6.0,50.0,12.0,92.0,11,0.636,1
PROP-AA1DD105AF68,,Unregistered,,,,,0,1.0,0
PROP-ACE042C2B2C8,,Unregistered,,,,,0,1.0,0
PROP-11443D156335,,Unregistered,,,,,0,1.0,0
PROP-4D1653AB930C,RERA-KAR-88816210,Ongoing,40.0,50.0,80.0,44.0,5,0.4,0
PROP-505A99553DB2,RERA-KAR-82139655,Ongoing,41.0,54.0,75.9,95.0,17,0.353,0
PROP-B3D66271F189,RERA-KAR-72805309,Completed,51.0,41.0,100.0,126.0,20,0.4,0
PROP-BAE993C96E14,RERA-KAR-45192492,Ongoing,10.0,38.0,26.3,138.0,4,0.75,0
PROP-AA87264EFA5F,,Unregistered,,,,,0,1.0,0
PROP-4470E8247205,RERA-KAR-72805309,Completed,51.0,41.0,100.0,126.0,20,0.4,0
PROP-E90EAF10FFDA,,Unregistered,,,,,0,1.0,0
PROP-F7A91A41F5F1,,Unregistered,,,,,0,1.0,0
PROP-8CFBB8B78C84,,Unregistered,,,,,0,1.0,0
PROP-06E22B7E2FE4,RERA-KAR-63852380,Ongoing,22.0,47.0,46.8,139.0,7,0.857,1
PROP-23D153C63A78,,Unregistered,,,,,0,1.0,0
PROP-A71E15110D21,RERA-KAR-25884936,Ongoing,26.0,44.0,59.1,43.0,13,0.692,0
PROP-4005C1F3DE73,,Unregistered,,,,,0,1.0,0
PROP-63CEB1524FCC,RERA-KAR-35469669,Ongoing,38.0,43.0,88.4,39.0,10,0.6,0
PROP-CDEC2C504020,,Unregistered,,,,,0,1.0,0
PROP-6BD93C4AFF0E,,Unregistered,,,,,0,1.0,0
PROP-08DC4E344AAB,,Unregistered,,,,,0,1.0,0
PROP-E0330B711376,RERA-KAR-60751838,Ongoing,36.0,50.0,72.0,91.0,71,0.592,5
PROP-63DE3419523F,,Unregistered,,,,,0,1.0,0
PROP-1C443FE93BFF,RERA-KAR-57504617,Ongoing,19.0,43.0,44.2,114.0,13,0.385,0
PROP-E841445690F7,RERA-KAR-40531014,Ongoing,24.0,48.0,50.0,142.0,10,0.7,0
PROP-7797F62C3C8F,,Unregistered,,,,,0,1.0,0
PROP-D8C2C31E4DEE,RERA-KAR-60751838,Completed,54.0,50.0,100.0,91.0,59,0.22,0
PROP-D188B7920CA9,,Unregistered,,,,,0,1.0,0
PROP-31F04B77DBEF,RERA-KAR-78103746,Ongoing,16.0,35.0,45.7,111.0,16,0.562,0
PROP-465E71B8F129,,Unregistered,,,,,0,1.0,0
PROP-879B046D6BDB,,Unregistered,,,,,0,1.0,0
PROP-A0EA08225DFF,,Unregistered,,,,,0,1.0,0
PROP-EF1D581601E1,,Unregistered,,,,,0,1.0,0
PROP-06076BEB6DD3,RERA-KAR-30414473,Ongoing,19.0,26.0,73.1,193.0,6,0.5,0
PROP-2ABD8AB23A00,RERA-KAR-86015509,Ongoing,7.0,42.0,16.7,68.0,13,0.462,0
PROP-398D47FDFDBD,RERA-KAR-00063082,Ongoing,35.0,57.0,61.4,131.0,6,0.333,0
PROP-02AA863FECCF,RERA-KAR-97378577,Completed,35.0,29.0,100.0,47.0,5,1.0,1
PROP-C17CCC6D8E5F,RERA-KAR-62056074,Ongoing,24.0,52.0,46.2,209.0,21,0.714,2
PROP-6D082C457A30,RERA-KAR-62056074,Ongoing,27.0,52.0,51.9,209.0,21,0.81,3
PROP-2BE8B454F117,,Unregistered,,,,,0,1.0,0
PROP-6C2A322CC5C3,RERA-KAR-64259688,Ongoing,30.0,52.0,57.7,60.0,9,0.667,1
PROP-7307DB4462A5,RERA-KAR-89170850,Ongoing,28.0,36.0,77.8,119.0,12,0.833,2
PROP-8175B23BB6C5,,Unregistered,,,,,0,1.0,0
PROP-17EDF1A6EF45,,Unregistered,,,,,0,1.0,0
PROP-F846570C0EB0,RERA-KAR-28576423,Ongoing,39.0,55.0,70.9,197.0,11,0.636,1
PROP-6F4D7A30D39F,RERA-KAR-73410528,Ongoing,35.0,46.0,76.1,212.0,16,0.5,0
PROP-BF1DBCF07F2B,RERA-KAR-73232127,Ongoing,27.0,28.0,96.4,73.0,17,0.529,0
PROP-538AC79A4DA1,RERA-KAR-55165795,Completed,37.0,37.0,100.0,82.0,24,0.333,0
