property_master_id,rera_id,rera_registered,project_status,project_age,construction_duration_months,completion_percent,unsold_inventory,developer_project_count,developer_completion_rate,developer_lapsed_project_count
PROP-2B47359F223D,,0,Unregistered,,,,,0,1.0,0
PROP-45F692517CCC,RERA-KAR-28365499,1,Completed,41.0,35.0,100.0,228.0,13,0.692,0
PROP-2575E406E6ED,,0,Unregistered,,,,,0,1.0,0
PROP-8172B7F0E4B3,RERA-KAR-90688690,1,Ongoing,8.0,27.0,29.6,34.0,33,0.303,0
PROP-BD59154C1C02,RERA-KAR-90688690,1,Ongoing,14.0,27.0,51.9,34.0,36,0.389,0
PROP-059DB4006AC0,RERA-KAR-92122974,1,Ongoing,32.0,54.0,59.3,85.0,12,0.917,0
PROP-84754AF80244,RERA-KAR-07412645,1,Ongoing,39.0,43.0,90.7,95.0,8,0.875,0
PROP-7FB6E1E9AB27,,0,Unregistered,,,,,0,1.0,0
PROP-BB2F61E74463,,0,Unregistered,,,,,0,1.0,0
PROP-323338C16857,,0,Unregistered,,,,,0,1.0,0
PROP-D5267CD95B5E,,0,Unregistered,,,,,0,1.0,0
PROP-7AB70D90D766,RERA-KAR-80843277,1,Ongoing,19.0,28.0,67.9,96.0,10,0.7,0
PROP-88A858863D08,RERA-KAR-16776816,1,Ongoing,10.0,40.0,25.0,71.0,7,0.571,0
PROP-CE6A3427554C,,0,Unregistered,,,,,0,1.0,0
PROP-1A63C13254E9,,0,Unregistered,,,,,0,1.0,0
PROP-50F45721AD61,,0,Unregistered,,,,,0,1.0,0
PROP-76C80522386B,RERA-KAR-13974106,1,Ongoing,16.0,57.0,28.1,131.0,36,0.639,0
PROP-D8ADC46AAB94,,0,Unregistered,,,,,0,1.0,0
PROP-45C7DB90ED8E,,0,Unregistered,,,,,0,1.0,0
PROP-3D613D55AFB2,,0,Unregistered,,,,,0,1.0,0
PROP-94660FD8BECA,,0,Unregistered,,,,,0,1.0,0
PROP-637E06D9C680,,0,Unregistered,,,,,0,1.0,0
PROP-FE3587544E90,,0,Unregistered,,,,,0,1.0,0
PROP-EFC306AA75F2,,0,Unregistered,,,,,0,1.0,0
PROP-872753E3D4E0,RERA-KAR-62407256,1,Ongoing,22.0,26.0,84.6,50.0,22,0.227,0
PROP-EB179A1538DE,,0,Unregistered,,,,,0,1.0,0
PROP-E85B35A14AD7,,0,Unregistered,,,,,0,1.0,0
PROP-788A8C4642E4,,0,Unregistered,,,,,0,1.0,0
PROP-886A8452EFE8,RERA-KAR-77838778,1,Ongoing,24.0,57.0,42.1,182.0,10,0.8,0
PROP-F44A47B3ECBB,,0,Unregistered,,,,,0,1.0,0
PROP-3F896EE744D8,,0,Unregistered,,,,,0,1.0,0
PROP-16FE421CD359,,0,Unregistered,,,,,0,1.0,0
PROP-7AB7CE884A3F,,0,Unregistered,,,,,0,1.0,0
PROP-EDC28E0756EB,,0,Unregistered,,,,,0,1.0,0
PROP-5C6155D2F1B7,,0,Unregistered,,,,,0,1.0,0
PROP-CBF1CA05BA23,,0,Unregistered,,,,,0,1.0,0
PROP-8F23576DE15A,,0,Unregistered,,,,,0,1.0,0
PROP-5A10B3C5F85B,RERA-KAR-45470960,1,Completed,74.0,37.0,100.0,67.0,26,0.538,0
PROP-C830CB139CB2,,0,Unregistered,,,,,0,1.0,0
PROP-C758BCBFC706,,0,Unregistered,,,,,0,1.0,0
PROP-B87D2EC8B069,,0,Unregistered,,,,,0,1.0,0
PROP-25DC8F4C8877,,0,Unregistered,,,,,0,1.0,0
PROP-7D828527BF65,,0,Unregistered,,,,,0,1.0,0
PROP-F98B6D58BE23,RERA-KAR-88959052,1,Ongoing,14.0,34.0,41.2,242.0,17,0.118,0
PROP-DBA66185510A,,0,Unregistered,,,,,0,1.0,0
PROP-2FFAAB46D3F2,,0,Unregistered,,,,,0,1.0,0
PROP-8856A3E303D8,RERA-KAR-45499049,1,Ongoing,19.0,33.0,57.6,231.0,8,0.75,1
PROP-AB8FB173D510,RERA-KAR-24170350,1,Ongoing,8.0,50.0,16.0,36.0,63,0.254,0
PROP-5B85BF0D493D,,0,Unregistered,,,,,0,1.0,0
PROP-AD1C2496FA78,,0,Unregistered,,,,,0,1.0,0
PROP-3D3460D6B89E,,0,Unregistered,,,,,0,1.0,0
PROP-4F7C9DE1C762,,0,Unregistered,,,,,0,1.0,0
PROP-2792A52029ED,,0,Unregistered,,,,,0,1.0,0
PROP-7035F18B1E70,RERA-KAR-20006975,1,Ongoing,41.0,47.0,87.2,192.0,17,0.353,0
PROP-8E634BC67AAD,RERA-KAR-04272750,1,Completed,45.0,41.0,100.0,117.0,4,0.75,0
PROP-CD1776FEF357,RERA-KAR-05427821,1,Ongoing,39.0,51.0,76.5,44.0,16,0.312,0
PROP-0FDB3B6F821B,,0,Unregistered,,,,,0,1.0,0
PROP-D6614DC6D78D,RERA-KAR-47051855,1,Ongoing,29.0,51.0,56.9,146.0,12,0.917,0
PROP-2F729142682A,RERA-KAR-04217871,1,Ongoing,37.0,59.0,62.7,114.0,8,0.75,1
PROP-702747152B1F,,0,Unregistered,,,,,0,1.0,0
PROP-1C1698312C8D,RERA-KAR-62266842,1,Ongoing,24.0,45.0,53.3,171.0,17,0.765,1
PROP-0FD4DF4E3852,,0,Unregistered,,,,,0,1.0,0
PROP-F89F10DED77B,,0,Unregistered,,,,,0,1.0,0
PROP-C31CB5E92286,RERA-KAR-57765891,1,Ongoing,13.0,27.0,48.1,113.0,16,0.562,0
PROP-3C3E3A1482E3,,0,Unregistered,,,,,0,1.0,0
PROP-BDCB6BD9C9F6,,0,Unregistered,,,,,0,1.0,0
PROP-509E8D64ED20,RERA-KAR-22872594,1,Completed,36.0,33.0,100.0,108.0,11,0.273,0
PROP-6B1B4B888525,RERA-KAR-49669090,1,Ongoing,28.0,53.0,52.8,254.0,18,0.778,6
PROP-2AB67264A1F0,,0,Unregistered,,,,,0,1.0,0
PROP-507D30A0CC70,RERA-KAR-39619153,1,Ongoing,35.0,52.0,67.3,74.0,15,0.667,0
PROP-9B3CC7C1BCB5,,0,Unregistered,,,,,0,1.0,0
PROP-ABE3924F01B7,,0,Unregistered,,,,,0,1.0,0
PROP-57DA355A2692,,0,Unregistered,,,,,0,1.0,0
PROP-56D575EC93AD,RERA-KAR-69748172,1,Completed,38.0,27.0,100.0,180.0,9,0.778,0
PROP-C55A0D7ECD53,,0,Unregistered,,,,,0,1.0,0
PROP-02822F4AA50A,RERA-KAR-31151784,1,Ongoing,6.0,45.0,13.3,50.0,12,0.667,0
PROP-70BB33920137,,0,Unregistered,,,,,0,1.0,0
PROP-A1C71071FC3E,,0,Unregistered,,,,,0,1.0,0
PROP-7F2DD413A38C,RERA-KAR-11130473,1,Ongoing,23.0,29.0,79.3,93.0,22,0.227,0
PROP-B75905358CEE,RERA-KAR-31524151,1,Ongoing,30.0,38.0,78.9,143.0,23,0.348,0
PROP-5C5DF248FA35,,0,Unregistered,,,,,0,1.0,0
PROP-BD0F4A1C22B0,,0,Unregistered,,,,,0,1.0,0
PROP-2CAD8E842F4D,,0,Unregistered,,,,,0,1.0,0
PROP-6AF9BB765EC5,,0,Unregistered,,,,,0,1.0,0
PROP-4B4A25E223FC,,0,Unregistered,,,,,0,1.0,0
PROP-2953E133E896,,0,Unregistered,,,,,0,1.0,0
PROP-EB165B2603B3,RERA-KAR-25494369,1,Ongoing,11.0,40.0,27.5,60.0,29,0.759,1
PROP-6D5B5A15D220,RERA-KAR-96332740,1,Ongoing,6.0,57.0,10.5,35.0,12,0.667,1
PROP-992DBB7D707E,RERA-KAR-33126468,1,Completed,26.0,25.0,100.0,241.0,7,0.714,0
PROP-E1FA2623BAD7,,0,Unregistered,,,,,0,1.0,0
PROP-92505560622E,,0,Unregistered,,,,,0,1.0,0
PROP-63506EB3794C,,0,Unregistered,,,,,0,1.0,0
PROP-345DE124DBB5,,0,Unregistered,,,,,0,1.0,0
PROP-7D8D065FA8EF,,0,Unregistered,,,,,0,1.0,0
PROP-92FC0200E39D,RERA-KAR-53078156,1,Ongoing,18.0,44.0,40.9,146.0,12,0.25,0
PROP-1386E0282A51,,0,Unregistered,,,,,0,1.0,0
PROP-51C0F9C9DD02,,0,Unregistered,,,,,0,1.0,0
PROP-DEB94CB75BE4,RERA-KAR-62259296,1,Ongoing,6.0,37.0,16.2,68.0,6,0.667,0
PROP-C8E208F6009A,,0,Unregistered,,,,,0,1.0,0
PROP-057D8E3FC5BA,,0,Unregistered,,,,,0,1.0,0
PROP-246C706C4265,RERA-KAR-01623807,1,Ongoing,25.0,28.0,89.3,52.0,11,0.455,0
PROP-F164903FB494,RERA-KAR-95585544,1,Ongoing,10.0,29.0,34.5,114.0,11,0.545,0
PROP-55719E10D12B,,0,Unregistered,,,,,0,1.0,0
PROP-D18B6DE9CE0D,,0,Unregistered,,,,,0,1.0,0
PROP-7B2B8342FC86,,0,Unregistered,,,,,0,1.0,0
PROP-2CB43682478C,,0,Unregistered,,,,,0,1.0,0
PROP-16D78D022184,,0,Unregistered,,,,,0,1.0,0
PROP-4FF6D38EF728,,0,Unregistered,,,,,0,1.0,0
PROP-346C569C13C8,,0,Unregistered,,,,,0,1.0,0
PROP-9728D2DB9FB3,,0,Unregistered,,,,,0,1.0,0
PROP-265C17B93C25,,0,Unregistered,,,,,0,1.0,0
PROP-CFE1BA6871EA,,0,Unregistered,,,,,0,1.0,0
PROP-F72CA8EEF67D,,0,Unregistered,,,,,0,1.0,0
PROP-FEE70FE515D5,,0,Unregistered,,,,,0,1.0,0
PROP-2E8B2C5107D0,,0,Unregistered,,,,,0,1.0,0
PROP-01311BC1A16F,,0,Unregistered,,,,,0,1.0,0
PROP-FAB7AF2D93BB,,0,Unregistered,,,,,0,1.0,0
PROP-E83797C444F3,,0,Unregistered,,,,,0,1.0,0
PROP-E175A56E8BF1,,0,Unregistered,,,,,0,1.0,0
PROP-1B75C9C2E829,RERA-KAR-31625875,1,Ongoing,21.0,27.0,77.8,203.0,13,0.769,2
PROP-763F6C6E0520,,0,Unregistered,,,,,0,1.0,0
PROP-CE22265D659C,,0,Unregistered,,,,,0,1.0,0
PROP-0A9663B87B9F,,0,Unregistered,,,,,0,1.0,0
PROP-02FEAC0596D3,RERA-KAR-46194332,1,Completed,74.0,41.0,100.0,64.0,16,0.875,3
PROP-C84F060AFA00,RERA-KAR-93070478,1,Ongoing,20.0,31.0,64.5,55.0,15,0.8,2
PROP-3E36F05B7D50,,0,Unregistered,,,,,0,1.0,0
PROP-032D67A9FB9C,RERA-KAR-19086545,1,Ongoing,11.0,25.0,44.0,37.0,9,0.667,0
PROP-C1464B155C1B,,0,Unregistered,,,,,0,1.0,0
PROP-BE164A376CB6,,0,Unregistered,,,,,0,1.0,0
PROP-C7C0D748CD3A,,0,Unregistered,,,,,0,1.0,0
PROP-54990128B7F3,,0,Unregistered,,,,,0,1.0,0
PROP-D3DE585BE9BE,,0,Unregistered,,,,,0,1.0,0
PROP-723051AA7C5C,,0,Unregistered,,,,,0,1.0,0
PROP-63288B83AFED,,0,Unregistered,,,,,0,1.0,0
PROP-4DA670E7004C,,0,Unregistered,,,,,0,1.0,0
PROP-4B9C8164D185,,0,Unregistered,,,,,0,1.0,0
PROP-E151B304F88E,RERA-KAR-33056542,1,Ongoing,8.0,53.0,15.1,16.0,8,0.375,0
PROP-577DB5BC6FF7,,0,Unregistered,,,,,0,1.0,0
PROP-95101F1462F8,,0,Unregistered,,,,,0,1.0,0
PROP-BBA61AD88959,,0,Unregistered,,,,,0,1.0,0
PROP-B8B688DC9464,RERA-KAR-11162302,1,Ongoing,20.0,29.0,69.0,196.0,34,0.559,0
PROP-6849FA00EDB7,RERA-KAR-18990122,1,Ongoing,16.0,45.0,35.6,51.0,15,0.733,0
PROP-E7AA6DAF8211,RERA-KAR-18990122,1,Ongoing,16.0,45.0,35.6,51.0,13,0.538,0
PROP-1EB400C6DF22,RERA-KAR-47514536,1,Ongoing,22.0,36.0,61.1,90.0,11,0.818,0
PROP-8F1B19DC0C93,RERA-KAR-37037933,1,Ongoing,7.0,47.0,14.9,197.0,12,0.333,0
PROP-8684E7F7CF57,,0,Unregistered,,,,,0,1.0,0
PROP-ACA686B519FF,,0,Unregistered,,,,,0,1.0,0
PROP-F04FDD52F160,,0,Unregistered,,,,,0,1.0,0
PROP-DB4C20852C26,RERA-KAR-36964641,1,Ongoing,35.0,52.0,67.3,48.0,11,0.455,0
PROP-78B1E48E26E1,,0,Unregistered,,,,,0,1.0,0
PROP-FAB52FCADBB0,RERA-KAR-13570518,1,Ongoing,36.0,37.0,97.3,279.0,18,0.889,4
PROP-B29C1215EF95,,0,Unregistered,,,,,0,1.0,0
PROP-2F883D206272,,0,Unregistered,,,,,0,1.0,0
PROP-F6EF4CBFA712,,0,Unregistered,,,,,0,1.0,0
PROP-0BBE63F1E20D,,0,Unregistered,,,,,0,1.0,0
PROP-E462D063CC11,,0,Unregistered,,,,,0,1.0,0
PROP-1F16A2CAE54F,,0,Unregistered,,,,,0,1.0,0
PROP-B904BEEAFB82,RERA-KAR-60751838,1,Ongoing,36.0,50.0,72.0,91.0,33,0.091,0
PROP-C568A8878805,,0,Unregistered,,,,,0,1.0,0
PROP-B199E96CA7D3,RERA-KAR-00828586,1,Completed,47.0,43.0,100.0,123.0,26,0.538,0
PROP-A5D7CF4D7FFA,,0,Unregistered,,,,,0,1.0,0
PROP-DD3A60895E19,,0,Unregistered,,,,,0,1.0,0
PROP-814ED93E045A,,0,Unregistered,,,,,0,1.0,0
PROP-3A2F3003A313,,0,Unregistered,,,,,0,1.0,0
PROP-763E59C71F80,,0,Unregistered,,,,,0,1.0,0
PROP-EA828AA7375B,,0,Unregistered,,,,,0,1.0,0
PROP-3C130E55B63F,,0,Unregistered,,,,,0,1.0,0
PROP-D0DCC2AC0632,,0,Unregistered,,,,,0,1.0,0
PROP-AA4ED95C459C,,0,Unregistered,,,,,0,1.0,0
PROP-87DEE707F016,,0,Unregistered,,,,,0,1.0,0
PROP-A341219EC509,RERA-KAR-86871036,1,Ongoing,10.0,48.0,20.8,80.0,11,0.727,2
PROP-26F4E8087C87,,0,Unregistered,,,,,0,1.0,0
PROP-9BB942BBC8E8,,0,Unregistered,,,,,0,1.0,0
PROP-0162F239FFC4,RERA-KAR-04816430,1,Ongoing,28.0,32.0,87.5,35.0,21,0.238,0
PROP-3624DCD21358,,0,Unregistered,,,,,0,1.0,0
PROP-97788D722F8C,RERA-KAR-66248934,1,Ongoing,8.0,46.0,17.4,26.0,5,0.8,0
PROP-628BE38A18C9,,0,Unregistered,,,,,0,1.0,0
PROP-7F883F7BAC22,,0,Unregistered,,,,,0,1.0,0
PROP-391C390B81B7,,0,Unregistered,,,,,0,1.0,0
PROP-845367058A89,,0,Unregistered,,,,,0,1.0,0
PROP-F614FC69FEC1,RERA-KAR-61843456,1,Ongoing,18.0,42.0,42.9,220.0,5,0.4,0
PROP-CD2638E10A69,RERA-KAR-96645230,1,Ongoing,16.0,54.0,29.6,34.0,15,0.533,0
PROP-C77A021373DB,,0,Unregistered,,,,,0,1.0,0
PROP-9FE95E9529F3,,0,Unregistered,,,,,0,1.0,0
PROP-08BB15872EE8,,0,Unregistered,,,,,0,1.0,0
PROP-E104678FD2CA,,0,Unregistered,,,,,0,1.0,0
PROP-89CB67E4123B,,0,Unregistered,,,,,0,1.0,0
PROP-5CC9FEE69D28,,0,Unregistered,,,,,0,1.0,0
PROP-50582E426C67,,0,Unregistered,,,,,0,1.0,0
PROP-92CC9483CB8E,,0,Unregistered,,,,,0,1.0,0
PROP-0824828339C3,,0,Unregistered,,,,,0,1.0,0
PROP-EAD6C1387455,,0,Unregistered,,,,,0,1.0,0
PROP-5BAE29C2B600,,0,Unregistered,,,,,0,1.0,0
PROP-5DC1D7E71BC2,,0,Unregistered,,,,,0,1.0,0
PROP-D35F5E323882,,0,Unregistered,,,,,0,1.0,0
PROP-5733CFBDF24B,,0,Unregistered,,,,,0,1.0,0
PROP-B0A323A9EE34,,0,Unregistered,,,,,0,1.0,0
PROP-99ACB118B6F4,RERA-KAR-70310042,1,Ongoing,36.0,43.0,83.7,44.0,71,0.634,5
PROP-74F4502D2F3A,RERA-KAR-17349385,1,Ongoing,33.0,60.0,55.0,85.0,16,0.188,0
PROP-D29EFF8F9345,,0,Unregistered,,,,,0,1.0,0
PROP-15D5773E152E,,0,Unregistered,,,,,0,1.0,0
PROP-AA8AB6E3F9A0,,0,Unregistered,,,,,0,1.0,0
PROP-50D9DDE09E2C,,0,Unregistered,,,,,0,1.0,0
PROP-EB1C3288084E,,0,Unregistered,,,,,0,1.0,0
PROP-8DEBD069C656,,0,Unregistered,,,,,0,1.0,0
PROP-5520533EFB2F,,0,Unregistered,,,,,0,1.0,0
PROP-4BAE7EC1B22D,RERA-KAR-08546436,1,Ongoing,10.0,47.0,21.3,212.0,4,0.5,0
PROP-1E53DC439A52,,0,Unregistered,,,,,0,1.0,0
PROP-538189D7DEDF,RERA-KAR-31599643,1,Completed,33.0,28.0,100.0,39.0,10,0.4,0
PROP-74C78BE6679D,,0,Unregistered,,,,,0,1.0,0
PROP-4B05988E13DD,RERA-KAR-11692414,1,Ongoing,40.0,53.0,75.5,192.0,13,0.846,0
PROP-E18AE8DBF20E,,0,Unregistered,,,,,0,1.0,0
PROP-488FD6219E83,,0,Unregistered,,,,,0,1.0,0
PROP-1A415F7B3BCC,RERA-KAR-25948483,1,Ongoing,25.0,47.0,53.2,16.0,21,0.619,3
PROP-FB989EFF8A2A,,0,Unregistered,,,,,0,1.0,0
PROP-6EF70B099AF5,,0,Unregistered,,,,,0,1.0,0
PROP-78F2B5D11D4E,,0,Unregistered,,,,,0,1.0,0
PROP-DF7C726B28A7,,0,Unregistered,,,,,0,1.0,0
PROP-68A5B63E7CDB,,0,Unregistered,,,,,0,1.0,0
PROP-75232C97B74E,,0,Unregistered,,,,,0,1.0,0
PROP-BAD79AE16310,,0,Unregistered,,,,,0,1.0,0
PROP-8690C6DE22F9,,0,Unregistered,,,,,0,1.0,0
PROP-43FB870147E7,,0,Unregistered,,,,,0,1.0,0
PROP-9064E8DBEB03,,0,Unregistered,,,,,0,1.0,0
PROP-A7144DFEC773,,0,Unregistered,,,,,0,1.0,0
PROP-2015298C022A,,0,Unregistered,,,,,0,1.0,0
PROP-3E38DD1DCF08,,0,Unregistered,,,,,0,1.0,0
PROP-3FED19C4F3BE,,0,Unregistered,,,,,0,1.0,0
PROP-CF0439C39D26,RERA-KAR-05010822,1,Completed,60.0,47.0,100.0,38.0,19,0.737,2
PROP-53B59500B16F,,0,Unregistered,,,,,0,1.0,0
PROP-F2547132B8F4,,0,Unregistered,,,,,0,1.0,0
PROP-6D5669F39600,,0,Unregistered,,,,,0,1.0,0
PROP-F942AE5FFB9C,RERA-KAR-50101649,1,Ongoing,7.0,49.0,14.3,128.0,13,0.615,0
PROP-370D7AC1EDBF,RERA-KAR-20950191,1,Ongoing,33.0,46.0,71.7,204.0,14,0.857,1
PROP-8A24287D4589,,0,Unregistered,,,,,0,1.0,0
PROP-DB5B840B5CCF,,0,Unregistered,,,,,0,1.0,0
PROP-EAF92F8DDDD9,,0,Unregistered,,,,,0,1.0,0
PROP-594EFEA42978,,0,Unregistered,,,,,0,1.0,0
PROP-FFEEFF5EAB46,RERA-KAR-03301739,1,Ongoing,33.0,53.0,62.3,68.0,19,0.474,0
PROP-A1BA15A56A8B,,0,Unregistered,,,,,0,1.0,0
PROP-AAC348E1FD9B,,0,Unregistered,,,,,0,1.0,0
PROP-A2F79BB61510,,0,Unregistered,,,,,0,1.0,0
PROP-EC1C69A67D20,,0,Unregistered,,,,,0,1.0,0
PROP-5A56AA8A08FA,,0,Unregistered,,,,,0,1.0,0
PROP-CF6E08880751,,0,Unregistered,,,,,0,1.0,0
PROP-193E0E64EB42,,0,Unregistered,,,,,0,1.0,0
PROP-777EB36E045C,,0,Unregistered,,,,,0,1.0,0
PROP-F3B639439B82,,0,Unregistered,,,,,0,1.0,0
PROP-EC9B12D74B6B,,0,Unregistered,,,,,0,1.0,0
PROP-10D1B4E79715,,0,Unregistered,,,,,0,1.0,0
PROP-F7742274CFC8,,0,Unregistered,,,,,0,1.0,0
PROP-26FF5CF58D12,,0,Unregistered,,,,,0,1.0,0
PROP-E3137E71556A,,0,Unregistered,,,,,0,1.0,0
PROP-9282D64E9246,,0,Unregistered,,,,,0,1.0,0
PROP-B852DFF1488A,,0,Unregistered,,,,,0,1.0,0
PROP-FD71C5E89A02,,0,Unregistered,,,,,0,1.0,0
PROP-A5CBA68C576A,RERA-KAR-33056542,1,Ongoing,8.0,53.0,15.1,16.0,10,0.3,0
PROP-386EA96C9E9F,,0,Unregistered,,,,,0,1.0,0
PROP-182774BBF2E3,,0,Unregistered,,,,,0,1.0,0
PROP-102430E41ADF,,0,Unregistered,,,,,0,1.0,0
PROP-56553FC4E790,,0,Unregistered,,,,,0,1.0,0
PROP-D4303FB11F8F,,0,Unregistered,,,,,0,1.0,0
PROP-AE00F118FF88,,0,Unregistered,,,,,0,1.0,0
PROP-A2C076F14CB1,,0,Unregistered,,,,,0,1.0,0
PROP-E36A5586570B,,0,Unregistered,,,,,0,1.0,0
PROP-6905D3FA5400,RERA-KAR-10022155,1,Ongoing,43.0,44.0,97.7,291.0,19,0.737,2
PROP-ADCD7114DD3E,,0,Unregistered,,,,,0,1.0,0
PROP-7A46654D7F84,,0,Unregistered,,,,,0,1.0,0
PROP-6F2660E1E5ED,,0,Unregistered,,,,,0,1.0,0
PROP-5B5B7DC6A194,,0,Unregistered,,,,,0,1.0,0
PROP-18F7A2458638,,0,Unregistered,,,,,0,1.0,0
PROP-00F914711B82,RERA-KAR-95961845,1,Ongoing,27.0,31.0,87.1,71.0,8,0.5,0
PROP-6460CA73C442,,0,Unregistered,,,,,0,1.0,0
PROP-91E9434C285A,RERA-KAR-86505212,1,Ongoing,22.0,45.0,48.9,57.0,8,0.625,0
PROP-81A35C3ED7AE,,0,Unregistered,,,,,0,1.0,0
PROP-201A6DB77303,,0,Unregistered,,,,,0,1.0,0
PROP-5A55B38F8349,,0,Unregistered,,,,,0,1.0,0
PROP-907251C425CA,,0,Unregistered,,,,,0,1.0,0
PROP-CFE4B922DAAF,,0,Unregistered,,,,,0,1.0,0
PROP-3D3525F11893,,0,Unregistered,,,,,0,1.0,0
PROP-6E535C2D891F,,0,Unregistered,,,,,0,1.0,0
PROP-43C691997CD5,,0,Unregistered,,,,,0,1.0,0
PROP-F24A817B0BB3,RERA-KAR-45470960,1,Completed,38.0,37.0,100.0,67.0,27,0.741,1
PROP-4A18C298D825,,0,Unregistered,,,,,0,1.0,0
PROP-33BC4D1137B5,,0,Unregistered,,,,,0,1.0,0
PROP-87659B04CC59,,0,Unregistered,,,,,0,1.0,0
PROP-ADA6EA3E0B0E,RERA-KAR-15763307,1,Ongoing,37.0,52.0,71.2,76.0,10,0.9,0
PROP-84414600A189,,0,Unregistered,,,,,0,1.0,0
PROP-BDF4BCCD0BEE,,0,Unregistered,,,,,0,1.0,0
PROP-0F24070CF2D8,RERA-KAR-38581059,1,Completed,29.0,26.0,100.0,98.0,9,0.667,0
PROP-15C6CB9EFBC4,,0,Unregistered,,,,,0,1.0,0
PROP-DD7664BC160C,,0,Unregistered,,,,,0,1.0,0
PROP-2AFBE2785865,RERA-KAR-06678577,1,Ongoing,31.0,54.0,57.4,208.0,4,0.75,0
PROP-2F02A76D25BA,,0,Unregistered,,,,,0,1.0,0
PROP-84A565DDA699,,0,Unregistered,,,,,0,1.0,0
PROP-5B1D193B8BEF,,0,Unregistered,,,,,0,1.0,0
PROP-3990A80B7E88,,0,Unregistered,,,,,0,1.0,0
PROP-1325352143E7,RERA-KAR-39198820,1,Ongoing,6.0,24.0,25.0,81.0,17,0.118,0
PROP-5232983C0EA6,,0,Unregistered,,,,,0,1.0,0
PROP-F6766D1B8C97,,0,Unregistered,,,,,0,1.0,0
PROP-5C68A376A804,,0,Unregistered,,,,,0,1.0,0
PROP-DA8DA6DA099E,RERA-KAR-00828586,1,Completed,44.0,43.0,100.0,123.0,26,0.538,0
PROP-E3D40FE4E669,,0,Unregistered,,,,,0,1.0,0
PROP-352AFA866112,,0,Unregistered,,,,,0,1.0,0
PROP-4B451A88ECFF,,0,Unregistered,,,,,0,1.0,0
PROP-B87ABF60E715,,0,Unregistered,,,,,0,1.0,0
PROP-AD156EE899F4,,0,Unregistered,,,,,0,1.0,0
PROP-974325224E0B,,0,Unregistered,,,,,0,1.0,0
PROP-74731FF22A2E,,0,Unregistered,,,,,0,1.0,0
PROP-C4D0D206A303,,0,Unregistered,,,,,0,1.0,0
PROP-96577465F0DC,RERA-KAR-04220864,1,Ongoing,30.0,39.0,76.9,20.0,5,0.6,1
PROP-28ED7BF56A39,,0,Unregistered,,,,,0,1.0,0
PROP-97FF862E203A,,0,Unregistered,,,,,0,1.0,0
PROP-8BA09DE89F0C,,0,Unregistered,,,,,0,1.0,0
PROP-C280EFC6A29A,RERA-KAR-46331890,1,Ongoing,12.0,28.0,42.9,198.0,16,0.75,2
PROP-CAF7694EC367,RERA-KAR-59798251,1,Ongoing,29.0,44.0,65.9,126.0,17,0.529,0
PROP-C400BCD7680E,,0,Unregistered,,,,,0,1.0,0
PROP-9F688DC0F2F6,,0,Unregistered,,,,,0,1.0,0
PROP-DD827CF00BF7,,0,Unregistered,,,,,0,1.0,0
PROP-9812020C0B67,RERA-KAR-20119191,1,Ongoing,21.0,39.0,53.8,167.0,71,0.676,6
PROP-B88395FFC573,,0,Unregistered,,,,,0,1.0,0
PROP-5D861391E50B,RERA-KAR-52882133,1,Completed,63.0,39.0,100.0,40.0,27,0.778,0
PROP-09386789E29D,RERA-KAR-92355429,1,Ongoing,19.0,27.0,70.4,121.0,9,0.556,0
PROP-C0CD75FD2E08,,0,Unregistered,,,,,0,1.0,0
PROP-0B4A2A353F12,,0,Unregistered,,,,,0,1.0,0
PROP-B92C2336EB93,,0,Unregistered,,,,,0,1.0,0
PROP-DEC084B63D73,RERA-KAR-52689137,1,Completed,27.0,24.0,100.0,69.0,26,0.769,4
PROP-2B2D243FDB15,RERA-KAR-84833777,1,Ongoing,7.0,44.0,15.9,185.0,10,0.8,1
PROP-3BBBFCA0D39A,RERA-KAR-66140103,1,Ongoing,41.0,52.0,78.8,63.0,14,0.214,0
PROP-76C7370CE58E,,0,Unregistered,,,,,0,1.0,0
PROP-BF20F05F9192,,0,Unregistered,,,,,0,1.0,0
PROP-5935D11D0E71,,0,Unregistered,,,,,0,1.0,0
PROP-756DE4A8386D,RERA-KAR-84917542,1,Ongoing,24.0,26.0,92.3,163.0,15,0.733,3
PROP-BE616713FF94,,0,Unregistered,,,,,0,1.0,0
PROP-1A2CACBB894E,,0,Unregistered,,,,,0,1.0,0
PROP-6E4F46F4CADE,,0,Unregistered,,,,,0,1.0,0
PROP-24E9CE7CF1AB,,0,Unregistered,,,,,0,1.0,0
PROP-460994351B37,RERA-KAR-97562315,1,Ongoing,21.0,35.0,60.0,119.0,17,0.353,0
PROP-280EF543390C,,0,Unregistered,,,,,0,1.0,0
PROP-86DB97ED3620,,0,Unregistered,,,,,0,1.0,0
PROP-A88EF899E623,,0,Unregistered,,,,,0,1.0,0
PROP-F8870211EF88,,0,Unregistered,,,,,0,1.0,0
PROP-53D0CC774AD8,,0,Unregistered,,,,,0,1.0,0
PROP-2F3ADF00A234,,0,Unregistered,,,,,0,1.0,0
PROP-972A7EFC52C7,,0,Unregistered,,,,,0,1.0,0
PROP-386CC3E645FB,,0,Unregistered,,,,,0,1.0,0
PROP-3FBBF69F29D1,,0,Unregistered,,,,,0,1.0,0
PROP-5B927135242D,,0,Unregistered,,,,,0,1.0,0
PROP-73DBC563B5CD,,0,Unregistered,,,,,0,1.0,0
